Date_Time,Entry,Year,Month,Day,Hour,Weekday,Is_Holiday,Entry Last Hour,Entry Last 2 Hours,Entry Yesterday,Entry Last Week
2022-04-25 04:00:00,5.0,2022.0,4.0,25.0,4.0,1.0,0.0,5.0,-325.0,4.0,0.0
2022-04-25 05:00:00,493.0,2022.0,4.0,25.0,5.0,1.0,0.0,488.0,493.0,229.0,-42.0
2022-04-25 06:00:00,758.0,2022.0,4.0,25.0,6.0,1.0,0.0,265.0,753.0,316.0,-45.0
2022-04-25 07:00:00,750.0,2022.0,4.0,25.0,7.0,1.0,0.0,-8.0,257.0,271.0,56.0
2022-04-25 08:00:00,718.0,2022.0,4.0,25.0,8.0,1.0,0.0,-32.0,-40.0,262.0,23.0
2022-04-25 09:00:00,714.0,2022.0,4.0,25.0,9.0,1.0,0.0,-4.0,-36.0,257.0,14.0
2022-04-25 10:00:00,656.0,2022.0,4.0,25.0,10.0,1.0,0.0,-58.0,-62.0,219.0,-15.0
2022-04-25 11:00:00,794.0,2022.0,4.0,25.0,11.0,1.0,0.0,138.0,80.0,266.0,66.0
2022-04-25 12:00:00,741.0,2022.0,4.0,25.0,12.0,1.0,0.0,-53.0,85.0,192.0,-70.0
2022-04-25 13:00:00,765.0,2022.0,4.0,25.0,13.0,1.0,0.0,24.0,-29.0,199.0,-22.0
2022-04-25 14:00:00,985.0,2022.0,4.0,25.0,14.0,1.0,0.0,220.0,244.0,268.0,-36.0
2022-04-25 15:00:00,1398.0,2022.0,4.0,25.0,15.0,1.0,0.0,413.0,633.0,330.0,13.0
2022-04-25 16:00:00,2052.0,2022.0,4.0,25.0,16.0,1.0,0.0,654.0,1067.0,957.0,-48.0
2022-04-25 17:00:00,2460.0,2022.0,4.0,25.0,17.0,1.0,0.0,408.0,1062.0,1401.0,12.0
2022-04-25 18:00:00,2571.0,2022.0,4.0,25.0,18.0,1.0,0.0,111.0,519.0,1377.0,189.0
2022-04-25 19:00:00,2054.0,2022.0,4.0,25.0,19.0,1.0,0.0,-517.0,-406.0,729.0,140.0
2022-04-25 20:00:00,1678.0,2022.0,4.0,25.0,20.0,1.0,0.0,-376.0,-893.0,405.0,56.0
2022-04-25 21:00:00,1501.0,2022.0,4.0,25.0,21.0,1.0,0.0,-177.0,-553.0,437.0,168.0
2022-04-25 22:00:00,166.0,2022.0,4.0,25.0,22.0,1.0,0.0,-1335.0,-1512.0,-164.0,37.0
2022-04-25 23:00:00,0.0,2022.0,4.0,25.0,23.0,1.0,0.0,-166.0,-1501.0,0.0,0.0
2022-04-26 04:00:00,16.0,2022.0,4.0,26.0,4.0,2.0,0.0,16.0,-150.0,11.0,5.0
2022-04-26 05:00:00,646.0,2022.0,4.0,26.0,5.0,2.0,0.0,630.0,646.0,153.0,-27.0
2022-04-26 06:00:00,1170.0,2022.0,4.0,26.0,6.0,2.0,0.0,524.0,1154.0,412.0,-83.0
2022-04-26 07:00:00,1062.0,2022.0,4.0,26.0,7.0,2.0,0.0,-108.0,416.0,312.0,34.0
2022-04-26 08:00:00,917.0,2022.0,4.0,26.0,8.0,2.0,0.0,-145.0,-253.0,199.0,107.0
2022-04-26 09:00:00,873.0,2022.0,4.0,26.0,9.0,2.0,0.0,-44.0,-189.0,159.0,62.0
2022-04-26 10:00:00,676.0,2022.0,4.0,26.0,10.0,2.0,0.0,-197.0,-241.0,20.0,75.0
2022-04-26 11:00:00,715.0,2022.0,4.0,26.0,11.0,2.0,0.0,39.0,-158.0,-79.0,-12.0
2022-04-26 12:00:00,785.0,2022.0,4.0,26.0,12.0,2.0,0.0,70.0,109.0,44.0,39.0
2022-04-26 13:00:00,741.0,2022.0,4.0,26.0,13.0,2.0,0.0,-44.0,26.0,-24.0,-6.0
2022-04-26 14:00:00,992.0,2022.0,4.0,26.0,14.0,2.0,0.0,251.0,207.0,7.0,-82.0
2022-04-26 15:00:00,1513.0,2022.0,4.0,26.0,15.0,2.0,0.0,521.0,772.0,115.0,89.0
2022-04-26 16:00:00,2166.0,2022.0,4.0,26.0,16.0,2.0,0.0,653.0,1174.0,114.0,-22.0
2022-04-26 17:00:00,2640.0,2022.0,4.0,26.0,17.0,2.0,0.0,474.0,1127.0,180.0,130.0
2022-04-26 18:00:00,2662.0,2022.0,4.0,26.0,18.0,2.0,0.0,22.0,496.0,91.0,-45.0
2022-04-26 19:00:00,2228.0,2022.0,4.0,26.0,19.0,2.0,0.0,-434.0,-412.0,174.0,134.0
2022-04-26 20:00:00,1827.0,2022.0,4.0,26.0,20.0,2.0,0.0,-401.0,-835.0,149.0,120.0
2022-04-26 21:00:00,1385.0,2022.0,4.0,26.0,21.0,2.0,0.0,-442.0,-843.0,-116.0,9.0
2022-04-26 22:00:00,171.0,2022.0,4.0,26.0,22.0,2.0,0.0,-1214.0,-1656.0,5.0,33.0
2022-04-26 23:00:00,0.0,2022.0,4.0,26.0,23.0,2.0,0.0,-171.0,-1385.0,0.0,0.0
2022-04-27 04:00:00,9.0,2022.0,4.0,27.0,4.0,3.0,0.0,9.0,-162.0,-7.0,3.0
2022-04-27 05:00:00,666.0,2022.0,4.0,27.0,5.0,3.0,0.0,657.0,666.0,20.0,45.0
2022-04-27 06:00:00,1195.0,2022.0,4.0,27.0,6.0,3.0,0.0,529.0,1186.0,25.0,-10.0
2022-04-27 07:00:00,1100.0,2022.0,4.0,27.0,7.0,3.0,0.0,-95.0,434.0,38.0,45.0
2022-04-27 08:00:00,885.0,2022.0,4.0,27.0,8.0,3.0,0.0,-215.0,-310.0,-32.0,13.0
2022-04-27 09:00:00,833.0,2022.0,4.0,27.0,9.0,3.0,0.0,-52.0,-267.0,-40.0,78.0
2022-04-27 10:00:00,629.0,2022.0,4.0,27.0,10.0,3.0,0.0,-204.0,-256.0,-47.0,26.0
2022-04-27 11:00:00,689.0,2022.0,4.0,27.0,11.0,3.0,0.0,60.0,-144.0,-26.0,-7.0
2022-04-27 12:00:00,797.0,2022.0,4.0,27.0,12.0,3.0,0.0,108.0,168.0,12.0,43.0
2022-04-27 13:00:00,796.0,2022.0,4.0,27.0,13.0,3.0,0.0,-1.0,107.0,55.0,14.0
2022-04-27 14:00:00,985.0,2022.0,4.0,27.0,14.0,3.0,0.0,189.0,188.0,-7.0,-15.0
2022-04-27 15:00:00,1459.0,2022.0,4.0,27.0,15.0,3.0,0.0,474.0,663.0,-54.0,-55.0
2022-04-27 16:00:00,2415.0,2022.0,4.0,27.0,16.0,3.0,0.0,956.0,1430.0,249.0,94.0
2022-04-27 17:00:00,2722.0,2022.0,4.0,27.0,17.0,3.0,0.0,307.0,1263.0,82.0,102.0
2022-04-27 18:00:00,2771.0,2022.0,4.0,27.0,18.0,3.0,0.0,49.0,356.0,109.0,-51.0
2022-04-27 19:00:00,2215.0,2022.0,4.0,27.0,19.0,3.0,0.0,-556.0,-507.0,-13.0,-27.0
2022-04-27 20:00:00,1894.0,2022.0,4.0,27.0,20.0,3.0,0.0,-321.0,-877.0,67.0,83.0
2022-04-27 21:00:00,1566.0,2022.0,4.0,27.0,21.0,3.0,0.0,-328.0,-649.0,181.0,93.0
2022-04-27 22:00:00,186.0,2022.0,4.0,27.0,22.0,3.0,0.0,-1380.0,-1708.0,15.0,21.0
