Date_Time,Entry,Year,Month,Day,Hour,Weekday,Is_Holiday,Entry Last Hour,Entry Last 2 Hours,Entry Yesterday,Entry Last Week
2022-04-25 04:00:00,72.0,2022.0,4.0,25.0,4.0,1.0,0.0,72.0,-2.0,43.0,2.0
2022-04-25 05:00:00,694.0,2022.0,4.0,25.0,5.0,1.0,0.0,622.0,694.0,333.0,79.0
2022-04-25 06:00:00,1443.0,2022.0,4.0,25.0,6.0,1.0,0.0,749.0,1371.0,813.0,154.0
2022-04-25 07:00:00,1717.0,2022.0,4.0,25.0,7.0,1.0,0.0,274.0,1023.0,1072.0,165.0
2022-04-25 08:00:00,1321.0,2022.0,4.0,25.0,8.0,1.0,0.0,-396.0,-122.0,624.0,140.0
2022-04-25 09:00:00,1072.0,2022.0,4.0,25.0,9.0,1.0,0.0,-249.0,-645.0,240.0,66.0
2022-04-25 10:00:00,883.0,2022.0,4.0,25.0,10.0,1.0,0.0,-189.0,-438.0,143.0,-27.0
2022-04-25 11:00:00,902.0,2022.0,4.0,25.0,11.0,1.0,0.0,19.0,-170.0,129.0,-58.0
2022-04-25 12:00:00,888.0,2022.0,4.0,25.0,12.0,1.0,0.0,-14.0,5.0,75.0,-14.0
2022-04-25 13:00:00,838.0,2022.0,4.0,25.0,13.0,1.0,0.0,-50.0,-64.0,18.0,-33.0
2022-04-25 14:00:00,907.0,2022.0,4.0,25.0,14.0,1.0,0.0,69.0,19.0,-67.0,-4.0
2022-04-25 15:00:00,1055.0,2022.0,4.0,25.0,15.0,1.0,0.0,148.0,217.0,-77.0,7.0
2022-04-25 16:00:00,1582.0,2022.0,4.0,25.0,16.0,1.0,0.0,527.0,675.0,520.0,70.0
2022-04-25 17:00:00,2005.0,2022.0,4.0,25.0,17.0,1.0,0.0,423.0,950.0,1097.0,179.0
2022-04-25 18:00:00,1837.0,2022.0,4.0,25.0,18.0,1.0,0.0,-168.0,255.0,1154.0,247.0
2022-04-25 19:00:00,1246.0,2022.0,4.0,25.0,19.0,1.0,0.0,-591.0,-759.0,642.0,207.0
2022-04-25 20:00:00,827.0,2022.0,4.0,25.0,20.0,1.0,0.0,-419.0,-1010.0,325.0,56.0
2022-04-25 21:00:00,602.0,2022.0,4.0,25.0,21.0,1.0,0.0,-225.0,-644.0,168.0,109.0
2022-04-25 22:00:00,105.0,2022.0,4.0,25.0,22.0,1.0,0.0,-497.0,-722.0,31.0,19.0
2022-04-25 23:00:00,0.0,2022.0,4.0,25.0,23.0,1.0,0.0,-105.0,-602.0,0.0,0.0
2022-04-26 04:00:00,77.0,2022.0,4.0,26.0,4.0,2.0,0.0,77.0,-28.0,5.0,-10.0
2022-04-26 05:00:00,917.0,2022.0,4.0,26.0,5.0,2.0,0.0,840.0,917.0,223.0,-40.0
2022-04-26 06:00:00,1710.0,2022.0,4.0,26.0,6.0,2.0,0.0,793.0,1633.0,267.0,74.0
2022-04-26 07:00:00,2052.0,2022.0,4.0,26.0,7.0,2.0,0.0,342.0,1135.0,335.0,91.0
2022-04-26 08:00:00,1429.0,2022.0,4.0,26.0,8.0,2.0,0.0,-623.0,-281.0,108.0,55.0
2022-04-26 09:00:00,1095.0,2022.0,4.0,26.0,9.0,2.0,0.0,-334.0,-957.0,23.0,71.0
2022-04-26 10:00:00,900.0,2022.0,4.0,26.0,10.0,2.0,0.0,-195.0,-529.0,17.0,90.0
2022-04-26 11:00:00,909.0,2022.0,4.0,26.0,11.0,2.0,0.0,9.0,-186.0,7.0,32.0
2022-04-26 12:00:00,820.0,2022.0,4.0,26.0,12.0,2.0,0.0,-89.0,-80.0,-68.0,-3.0
2022-04-26 13:00:00,945.0,2022.0,4.0,26.0,13.0,2.0,0.0,125.0,36.0,107.0,210.0
2022-04-26 14:00:00,868.0,2022.0,4.0,26.0,14.0,2.0,0.0,-77.0,48.0,-39.0,-101.0
2022-04-26 15:00:00,1108.0,2022.0,4.0,26.0,15.0,2.0,0.0,240.0,163.0,53.0,-8.0
2022-04-26 16:00:00,1609.0,2022.0,4.0,26.0,16.0,2.0,0.0,501.0,741.0,27.0,106.0
2022-04-26 17:00:00,2023.0,2022.0,4.0,26.0,17.0,2.0,0.0,414.0,915.0,18.0,22.0
2022-04-26 18:00:00,1866.0,2022.0,4.0,26.0,18.0,2.0,0.0,-157.0,257.0,29.0,11.0
2022-04-26 19:00:00,1287.0,2022.0,4.0,26.0,19.0,2.0,0.0,-579.0,-736.0,41.0,148.0
2022-04-26 20:00:00,997.0,2022.0,4.0,26.0,20.0,2.0,0.0,-290.0,-869.0,170.0,118.0
2022-04-26 21:00:00,605.0,2022.0,4.0,26.0,21.0,2.0,0.0,-392.0,-682.0,3.0,-7.0
2022-04-26 22:00:00,118.0,2022.0,4.0,26.0,22.0,2.0,0.0,-487.0,-879.0,13.0,6.0
2022-04-26 23:00:00,0.0,2022.0,4.0,26.0,23.0,2.0,0.0,-118.0,-605.0,0.0,0.0
2022-04-27 04:00:00,76.0,2022.0,4.0,27.0,4.0,3.0,0.0,76.0,-42.0,-1.0,-7.0
2022-04-27 05:00:00,947.0,2022.0,4.0,27.0,5.0,3.0,0.0,871.0,947.0,30.0,28.0
2022-04-27 06:00:00,1796.0,2022.0,4.0,27.0,6.0,3.0,0.0,849.0,1720.0,86.0,63.0
2022-04-27 07:00:00,2043.0,2022.0,4.0,27.0,7.0,3.0,0.0,247.0,1096.0,-9.0,77.0
2022-04-27 08:00:00,1543.0,2022.0,4.0,27.0,8.0,3.0,0.0,-500.0,-253.0,114.0,27.0
2022-04-27 09:00:00,1070.0,2022.0,4.0,27.0,9.0,3.0,0.0,-473.0,-973.0,-25.0,40.0
2022-04-27 10:00:00,908.0,2022.0,4.0,27.0,10.0,3.0,0.0,-162.0,-635.0,8.0,-8.0
2022-04-27 11:00:00,863.0,2022.0,4.0,27.0,11.0,3.0,0.0,-45.0,-207.0,-46.0,-42.0
2022-04-27 12:00:00,891.0,2022.0,4.0,27.0,12.0,3.0,0.0,28.0,-17.0,71.0,66.0
2022-04-27 13:00:00,864.0,2022.0,4.0,27.0,13.0,3.0,0.0,-27.0,1.0,-81.0,-46.0
2022-04-27 14:00:00,881.0,2022.0,4.0,27.0,14.0,3.0,0.0,17.0,-10.0,13.0,-46.0
2022-04-27 15:00:00,1186.0,2022.0,4.0,27.0,15.0,3.0,0.0,305.0,322.0,78.0,6.0
